Time,AccX,AccY,AccZ,GyroX,GyroY,GyroZ
2.196,0.01076,-0.04478,1.0006,-2.09473,-0.66467,-0.36236
2.2,0.0106,-0.04402,1.00182,-2.41699,-0.54382,-0.3892
2.204,0.0116,-0.04242,1.00189,-2.43713,-0.70496,-0.3892
2.208,0.0116,-0.04585,1.00334,-2.41699,-0.78552,-0.30867
2.212,0.0106,-0.04486,0.99991,-2.61841,-0.92651,-0.44288
2.216,0.01198,-0.04234,0.99716,-2.73926,-0.64453,-0.75155
2.22,0.01236,-0.04356,0.99976,-2.55798,-0.74524,-0.59051
2.224,0.01144,-0.04311,1.00273,-2.5177,-0.64453,-0.42946
2.228,0.0132,-0.04654,1.00632,-2.5177,-0.34241,-0.55024
2.232,0.01183,-0.04478,1.00471,-2.79968,-0.44312,-0.37578
2.236,0.0119,-0.0444,1.00227,-2.69897,-0.64453,-0.22815
2.24,0.01305,-0.04562,1.00266,-2.61841,-0.64453,-0.16105
2.244,0.01099,-0.04227,0.99777,-2.53784,-0.54382,-0.3892
2.248,0.01083,-0.04303,0.99838,-2.39685,-0.50354,-0.40262
2.252,0.01381,-0.04509,1.00235,-2.69897,-0.46326,-0.36236
2.256,0.01411,-0.04227,1.00235,-2.81982,-0.50354,-0.34893
2.26,0.0132,-0.04684,1.00571,-2.7594,-0.60425,-0.24157
2.264,0.0132,-0.04745,1.00555,-3.04138,-0.4834,-0.34893
2.268,0.01541,-0.03876,1.0006,-2.96082,-0.66467,-0.65761
2.272,0.01106,-0.04845,1.00136,-3.08167,-0.80566,-0.42946
2.276,0.01091,-0.04181,0.99617,-3.32336,-0.4834,-0.25499
2.28,0.01457,-0.0383,0.99831,-2.94067,-0.60425,-0.22815
2.284,0.01289,-0.05058,1.00853,-2.69897,-0.18127,-0.24157
2.288,0.01297,-0.04318,1.00418,-3.10181,-0.22156,-0.28183
2.292,0.01411,-0.04135,1.00533,-3.12195,-0.46326,-0.04026
2.296,0.01389,-0.05035,1.00853,-3.0011,-0.32227,-0.0671
2.3,0.01213,-0.04059,0.99823,-3.40393,-0.46326,-0.20131
2.304,0.01053,-0.04051,0.99815,-3.10181,-0.42297,-0.20131
2.308,0.01343,-0.04784,1.00365,-3.0011,-0.32227,-0.20131
2.312,0.01175,-0.04066,1.00082,-3.54492,-0.4834,-0.13421
2.316,0.0116,-0.04463,1.00533,-3.2428,-0.44312,0.0671
2.32,0.01358,-0.04745,1.00716,-3.64563,-0.2417,0.25499
2.324,0.01312,-0.04051,1.0022,-3.62549,-0.28198,0.12079
2.328,0.01259,-0.04456,1.00403,-3.44421,-0.32227,0.16105
2.332,0.01343,-0.04585,1.00357,-3.56506,-0.50354,0.44288
2.336,0.01297,-0.04044,0.99907,-3.64563,-0.64453,0.33551
2.34,0.01297,-0.04478,1.00243,-3.52478,-0.62439,0.04026
2.344,0.01526,-0.04585,1.00418,-3.68591,-0.44312,0.09394
2.348,0.01427,-0.04257,1.00365,-3.9679,-0.40283,0.09394
2.352,0.01305,-0.04547,1.00548,-4.02832,-0.2417,0.25499
2.356,0.0148,-0.04402,1.0054,-3.94775,-0.44312,0.4563
2.36,0.01343,-0.04448,1.0022,-4.08875,-0.42297,0.55024
2.364,0.01228,-0.04539,1.00075,-4.33044,-0.22156,0.63077
2.368,0.01335,-0.04181,1.00113,-4.552,-0.14099,0.61735
2.372,0.01488,-0.04494,1.00761,-4.16931,-0.04028,0.69787
2.376,0.0148,-0.0457,1.0083,-4.552,-0.22156,0.79181
2.38,0.01358,-0.04288,1.00502,-4.65271,-0.44312,0.81866
2.384,0.01534,-0.04539,1.00609,-4.45129,-0.34241,0.8455
2.388,0.01373,-0.04387,1.00235,-4.35059,-0.50354,0.59051
2.392,0.01251,-0.0415,0.9993,-4.53186,-0.38269,0.81866
2.396,0.01419,-0.04524,1.00327,-4.51172,-0.44312,0.83208
2.4,0.01373,-0.04211,1.00342,-4.73328,-0.40283,0.9797
2.404,0.01541,-0.0444,1.00288,-5.01526,-0.32227,1.15417
2.408,0.01411,-0.04738,1.00166,-4.97498,-0.28198,1.28838
2.412,0.01488,-0.03975,0.99594,-5.01526,-0.10071,1.47626
2.416,0.01434,-0.04295,0.99655,-4.63257,-0.32227,1.28838
2.42,0.01328,-0.0444,0.99846,-4.75342,-0.20142,1.42258
2.424,0.01434,-0.04143,0.99571,-4.7937,-0.18127,1.55679
2.428,0.01289,-0.04288,0.99503,-4.63257,-0.34241,1.62389
2.432,0.01427,-0.04517,0.99457,-4.77356,-0.42297,1.63731
2.436,0.01366,-0.04036,0.99106,-4.552,-0.42297,1.66415
2.44,0.01297,-0.04135,0.99205,-4.29016,-0.22156,1.61047
2.444,0.01442,-0.04181,0.99144,-4.22974,-0.12085,1.81178
2.448,0.01335,-0.04143,0.98984,-4.0686,-0.28198,1.91914
2.452,0.01175,-0.04303,0.98724,-3.76648,-0.30212,1.79836
2.456,0.0106,-0.03983,0.98549,-3.34351,-0.20142,1.86546
2.46,0.01137,-0.04074,0.98709,-3.06152,-0.30212,1.86546
2.464,0.01137,-0.04333,0.98839,-2.57813,-0.2417,1.74467
2.468,0.01114,-0.0396,0.98557,-2.61841,-0.12085,1.8923
