time,mag
20.78613,0.9739376
20.80627,0.9739376
20.82641,0.9296182
20.84656,0.8355881
20.8667,0.7962458
20.88684,0.8530633
20.90698,0.8803369
20.92712,0.8803369
20.94726,0.8803369
20.96741,0.8908838
20.98755,0.8818162
21.00769,0.8966464
21.02783,0.8818162
21.04797,0.8966464
21.06811,0.8888267
21.08825,0.8601248
21.1084,0.8530846
21.12854,0.8725451
21.14868,0.9315298
21.16882,0.9315298
21.18896,0.9543207
21.2091,0.9487604
21.22925,0.9304494
21.24939,0.9304494
21.26953,0.9483837
21.28967,0.9720858
21.30981,0.9891737
21.32995,1.009532
21.3501,1.05118
21.37024,1.05118
21.39038,1.0984
21.41052,1.131245
21.43066,1.13935
21.4508,1.168902
21.47095,1.203974
21.49109,1.203974
21.51123,1.213796
21.53137,1.220431
21.55151,1.213796
21.57165,1.220431
21.59179,1.252623
21.61194,1.252623
21.63208,1.277308
21.65222,1.264154
21.67236,1.257724
21.6925,1.266571
21.71264,1.288593
21.73279,1.282752
21.75293,1.258527
21.77307,1.277895
21.79321,1.277895
21.81335,1.31053
21.83349,1.307741
21.85364,1.287842
21.87378,1.306816
21.89392,1.338589
21.91406,1.353982
21.9342,1.353982
21.95434,1.33755
21.97449,1.316789
21.99463,1.33755
22.01477,1.316789
22.03491,1.33755
22.05505,1.316789
22.07519,1.314445
22.09534,1.323533
22.11548,1.305658
22.13562,1.273142
22.15576,1.225137
22.1759,1.177259
22.19604,1.141249
22.21618,1.136596
22.23633,1.136596
22.25647,1.136596
22.27661,1.13839
22.29675,1.126752
22.31689,1.079732
22.33703,1.005292
22.35718,0.9450009
22.37732,0.9101331
22.39746,0.9192916
22.4176,0.8948339
22.43774,0.8948339
22.45788,0.8125374
22.47803,0.7196869
22.49817,0.6550735
22.51831,0.6306484
22.53845,0.6138394
22.55859,0.59068
22.57873,0.6290269
22.59888,0.8117815
22.61902,0.8117815
22.63916,0.8117815
22.6593,0.9468316
22.67944,0.8996883
22.69958,0.8328843
22.71972,0.8108184
22.73987,0.8073015
22.76001,0.8817846
22.78015,0.926505
22.80029,0.9273869
22.82043,0.9273869
22.84057,0.9383432
22.86072,0.9614363
22.88086,0.975009
22.901,1.003742
22.92113,1.078375
22.94127,1.136107
22.96141,1.136107
22.98155,1.203188
23.00169,1.255063
23.02183,1.255063
23.04198,1.329515
23.06212,1.248617
23.08226,1.089615
23.1024,1.011417
23.12254,1.089615
23.14268,1.011417
23.16282,1.035187
23.18297,1.052424
23.20311,1.061013
23.22325,1.074965
23.24339,1.074965
23.26353,1.101613
23.28367,1.101613
23.30382,1.141093
23.32396,1.215369
23.3441,1.141093
23.36424,1.215369
23.38438,1.285497
23.40452,1.287441
23.42467,1.212779
23.44481,1.192011
23.46495,1.304759
23.48509,1.304759
23.50523,1.229001
23.52537,1.208748
23.54552,1.25304
23.56566,1.348011
23.5858,1.301154
23.60594,1.29201
23.62608,1.322824
23.64622,1.324237
23.66636,1.324237
23.68651,1.270369
23.70665,1.270369
23.72679,1.311733
23.74693,1.270279
23.76707,1.202153
23.78721,1.141726
23.80736,1.098702
23.8275,1.026801
23.84764,0.9745389
23.86778,0.9745389
23.88792,0.9375728
23.90806,0.9266132
23.92821,0.8787794
23.94835,0.901241
23.96849,0.901241
23.98863,0.9007953
24.00877,0.8857571
24.02891,0.8706251
24.04906,0.843284
24.0692,0.843284
24.08934,0.8465183
24.10948,0.8878223
24.12962,0.8938541
24.14976,0.8911541
24.1699,0.8635494
24.19005,0.8345748
24.21019,0.8327741
24.23033,0.8575252
24.25047,0.8575252
24.27061,0.8620336
24.29075,0.8318622
24.3109,0.8216758
24.33104,0.8216758
24.35118,0.8043308
24.37132,0.7787626
24.39146,0.7639813
24.4116,0.775062
24.43175,0.7738973
24.45189,0.7738973
24.47203,0.7813638
24.49217,0.825229
24.51231,0.8576651
24.53245,0.8624051
24.5526,0.8928866
24.57274,0.9263549
24.59288,0.9293469
24.61302,0.9436573
24.63316,0.9436573
24.6533,0.9436573
24.67344,0.9979495
24.69359,1.088786
24.71373,1.114411
24.73387,1.102752
24.75401,1.132857
24.77415,1.205474
24.79429,1.234047
24.81444,1.196769
24.83458,1.196769
24.85472,1.160014
24.87486,1.169994
24.895,1.183062
24.91514,1.20169
24.93529,1.225503
24.95543,1.225503
24.97557,1.239495
24.99571,1.220696
25.01585,1.207613
25.03599,1.207613
25.05614,1.207584
25.07628,1.182732
25.09642,1.170287
25.11656,1.212936
25.1367,1.264525
25.15684,1.292363
25.17698,1.310384
25.19713,1.329766
25.21727,1.329766
25.23741,1.312966
25.25755,1.279995
25.27769,1.279995
25.29783,1.276092
25.31798,1.285105
25.33812,1.266891
25.35826,1.235684
25.3784,1.208534
25.39854,1.188235
25.41868,1.188235
25.43883,1.159581
25.45897,1.139016
25.47911,1.105172
25.49925,1.073234
25.51939,1.068758
25.53953,1.070234
25.55968,1.030187
25.57982,0.9703669
25.59996,0.9703669
25.6201,0.9703669
25.64024,0.9330451
25.66038,0.9131345
25.68052,0.8914379
25.70067,0.8475431
25.72081,0.8070112
25.74095,0.7748275
25.76109,0.7383436
25.78123,0.7176944
25.80137,0.7176944
25.82152,0.6742908
25.84166,0.6394772
25.8618,0.6209692
25.88194,0.6348971
25.90208,0.6348971
25.92222,0.6783028
25.94237,0.70825
25.96251,0.731581
25.98265,0.70825
26.00279,0.731581
26.02293,0.8005092
26.04307,0.8005092
26.06322,0.8848655
26.08336,0.9741916
26.1035,1.014516
26.12364,1.019112
26.14378,1.038506
26.16392,1.018763
26.18406,0.974325
26.20421,0.9868295
26.22435,0.9868295
26.24449,0.9868295
26.26463,1.031666
26.28477,1.013191
26.30491,1.051773
26.32506,1.08524
26.3452,1.052209
26.36534,1.052209
26.38548,1.035573
26.40562,1.041189
26.42576,1.052278
26.44591,1.052278
26.46605,1.081537
26.48619,1.094053
26.50633,1.107172
26.52647,1.115233
26.54661,1.123331
26.56676,1.116934
26.5869,1.116934
26.60704,1.130772
26.62718,1.148114
26.64732,1.130772
26.66746,1.148114
26.6876,1.130772
26.70775,1.148114
26.72789,1.136812
26.74803,1.139143
26.76817,1.168215
26.78831,1.139143
26.80845,1.168215
26.8286,1.207813
26.84874,1.228977
26.86888,1.253769
26.88902,1.290927
26.90916,1.301014
